"","Club","Year","Time","Round","Day","Venue","Result","GF","GA","Opponent","predicted_probability"
"1","FC Cincinnati",2023,19:30:00,"Regular Season","Sat","Home","W","2","1","Dynamo FC",0.851
"2","FC Cincinnati",2023,19:30:00,"Regular Season","Sat","Away","D","0","0","Orlando City",0.124
"3","FC Cincinnati",2023,19:30:00,"Regular Season","Sat","Home","W","1","0","Seattle",0.809333333333333
"4","FC Cincinnati",2023,19:30:00,"Regular Season","Sat","Away","D","3","3","Chicago Fire",0.135
"5","FC Cincinnati",2023,19:30:00,"Regular Season","Sat","Away","W","1","0","Nashville",0.777
"6","FC Cincinnati",2023,19:30:00,"Regular Season","Sat","Home","W","1","0","Inter Miami",0.868
"7","FC Cincinnati",2023,19:30:00,"Regular Season","Sat","Home","W","1","0","Philadelphia",0.826666666666667
"8","FC Cincinnati",2023,19:30:00,"Regular Season","Sat","Away","L","1","5","St. Louis",-0.891666666666667
"9","FC Cincinnati",2023,19:30:00,"Regular Season","Sat","Home","W","2","1","Portland Timbers",0.88
"10","FC Cincinnati",2023,19:30:00,"Regular Season","Sat","Away","D","1","1","New England",-0.0206666666666667
"11","FC Cincinnati",2023,19:30:00,"Regular Season","Sat","Home","W","2","1","D.C. United",0.848
"12","FC Cincinnati",2023,19:30:00,"Regular Season","Wed","Home","W","3","0","CF Montréal",0.86
"13","FC Cincinnati",2023,19:30:00,"Regular Season","Sat","Home","W","3","2","Columbus Crew",0.802333333333333
"14","FC Cincinnati",2023,19:30:00,"Regular Season","Sat","Away","W","1","0","Colorado Rapids",0.724
"15","FC Cincinnati",2023,19:30:00,"Regular Season","Wed","Away","W","3","1","NYCFC",0.794333333333333
"16","FC Cincinnati",2023,19:30:00,"Regular Season","Sat","Away","D","1","1","Vancouver",0.238
"17","FC Cincinnati",2023,19:30:00,"Regular Season","Wed","Home","W","3","0","Toronto FC",0.92
"18","FC Cincinnati",2023,19:30:00,"Regular Season","Sat","Away","L","0","3","D.C. United",-0.958333333333333
"19","FC Cincinnati",2023,19:30:00,"Regular Season","Sat","Home","D","2","2","New England",0.208
"20","FC Cincinnati",2023,19:30:00,"Regular Season","Sat","Away","D","2","2","Charlotte",-0.017
"21","FC Cincinnati",2023,19:30:00,"Regular Season","Sat","Home","W","3","1","Nashville",0.91
"22","FC Cincinnati",2023,19:30:00,"Regular Season","Sun","Away","L","0","3","Columbus Crew",-0.903333333333333
"23","FC Cincinnati",2023,19:30:00,"Regular Season","Sat","Home","W","3","0","NYCFC",0.848333333333333
"24","FC Cincinnati",2023,19:30:00,"Regular Season","Wed","Away","W","2","1","Atlanta Utd",0.722333333333333
"25","FC Cincinnati",2023,19:30:00,"Regular Season","Sat","Home","L","0","1","Orlando City",-0.632666666666667
"26","FC Cincinnati",2023,19:30:00,"Regular Season","Sat","Away","D","2","2","Philadelphia",0.157
"27","FC Cincinnati",2023,19:30:00,"Regular Season","Wed","Away","D","1","1","CF Montréal",0.191666666666667
"28","FC Cincinnati",2023,19:30:00,"Regular Season","Sat","Away","W","3","2","Toronto FC",0.652666666666667
"29","FC Cincinnati",2023,19:30:00,"Regular Season","Wed","Home","L","1","2","NY Red Bulls",-0.687333333333333
"30","FC Cincinnati",2023,19:30:00,"Regular Season","Sat","Away","W","1","0","Inter Miami",0.883333333333333
"31","FC Cincinnati",2023,18:00:00,"Regular Season","Sat","Home","D","2","2","Atlanta Utd",-0.0586666666666667
"32","Orlando City",2023,19:30:00,"Regular Season","Sat","Home","D","0","0","FC Cincinnati",-0.0666666666666667
"33","Orlando City",2023,19:30:00,"Regular Season","Sat","Away","D","1","1","D.C. United",0.113666666666667
"34","Orlando City",2023,19:30:00,"Regular Season","Sat","Home","L","1","2","Charlotte",-0.575
"35","Orlando City",2023,19:30:00,"Regular Season","Sat","Away","W","2","1","Philadelphia",0.89
"36","Orlando City",2023,19:30:00,"Regular Season","Sat","Home","L","0","2","Nashville",-0.716
"37","Orlando City",2023,19:30:00,"Regular Season","Sat","Away","W","2","1","Minnesota Utd",0.198
"38","Orlando City",2023,19:30:00,"Regular Season","Sat","Home","L","1","3","D.C. United",-0.801666666666667
"39","Orlando City",2023,19:30:00,"Regular Season","Sat","Home","W","2","0","LA Galaxy",0.924
"40","Orlando City",2023,19:30:00,"Regular Season","Sat","Away","L","0","2","CF Montréal",-0.731333333333333
"41","Orlando City",2023,19:30:00,"Regular Season","Sat","Away","D","2","2","Columbus Crew",-0.0683333333333333
"42","Orlando City",2023,19:30:00,"Regular Season","Wed","Home","D","1","1","NYCFC",-0.079
"43","Orlando City",2023,19:30:00,"Regular Season","Sat","Away","W","3","1","Inter Miami",0.776
"44","Orlando City",2023,19:30:00,"Regular Season","Sat","Home","D","1","1","Atlanta Utd",0.0606666666666667
"45","Orlando City",2023,19:30:00,"Regular Season","Sat","Away","W","3","0","NY Red Bulls",0.906666666666667
"46","Orlando City",2023,19:30:00,"Regular Season","Sat","Home","W","2","0","Colorado Rapids",0.515
"47","Orlando City",2023,19:30:00,"Regular Season","Sat","Away","L","1","3","New England",-0.632
"48","Orlando City",2023,19:30:00,"Regular Season","Wed","Home","D","2","2","Philadelphia",0.160333333333333
"49","Orlando City",2023,19:30:00,"Regular Season","Sat","Away","D","0","0","Seattle",0.043
"50","Orlando City",2023,19:30:00,"Regular Season","Sat","Home","W","3","1","Chicago Fire",0.526
"51","Orlando City",2023,19:30:00,"Regular Season","Sat","Away","L","0","4","Real Salt Lake",-0.975
"52","Orlando City",2023,19:30:00,"Regular Season","Sat","Away","W","2","1","Atlanta Utd",0.895
"53","Orlando City",2023,19:30:00,"Regular Season","Sun","Away","W","3","1","Chicago Fire",0.684
"54","Orlando City",2023,19:30:00,"Regular Season","Sat","Home","W","2","1","St. Louis",0.846
"55","Orlando City",2023,19:30:00,"Regular Season","Wed","Away","D","1","1","Charlotte",0.0606666666666667
"56","Orlando City",2023,19:30:00,"Regular Season","Sat","Away","W","1","0","FC Cincinnati",0.577666666666667
"57","Orlando City",2023,19:30:00,"Regular Season","Sat","Home","W","4","3","Columbus Crew",0.427333333333333
"58","Orlando City",2023,19:30:00,"Regular Season","Wed","Away","L","0","2","NYCFC",-0.866666666666667
"59","Orlando City",2023,19:30:00,"Regular Season","Sun","Home","D","1","1","Inter Miami",0.134
"60","Orlando City",2023,19:30:00,"Regular Season","Sat","Home","W","3","0","CF Montréal",0.926666666666667
"61","Orlando City",2023,19:30:00,"Regular Season","Sat","Home","W","3","2","New England",0.552333333333333
"62","Orlando City",2023,18:00:00,"Regular Season","Sat","Away","W","2","0","Toronto FC",0.736666666666667
"63","Columbus Crew",2023,19:30:00,"Regular Season","Sat","Away","L","1","4","Philadelphia",-0.789
"64","Columbus Crew",2023,19:30:00,"Regular Season","Sat","Home","W","2","0","D.C. United",0.901
"65","Columbus Crew",2023,19:30:00,"Regular Season","Sat","Away","D","1","1","Toronto FC",-0.241666666666667
"66","Columbus Crew",2023,19:30:00,"Regular Season","Sat","Away","L","1","2","NY Red Bulls",-0.885333333333333
"67","Columbus Crew",2023,19:30:00,"Regular Season","Sat","Home","W","6","1","Atlanta Utd",0.837333333333333
"68","Columbus Crew",2023,19:30:00,"Regular Season","Sat","Home","W","4","0","Real Salt Lake",0.966
"69","Columbus Crew",2023,19:30:00,"Regular Season","Sat","Away","W","2","0","D.C. United",0.54
"70","Columbus Crew",2023,19:30:00,"Regular Season","Sat","Home","D","1","1","New England",-0.273333333333333
"71","Columbus Crew",2023,19:30:00,"Regular Season","Sat","Away","L","0","1","Charlotte",-0.823333333333333
"72","Columbus Crew",2023,19:30:00,"Regular Season","Sat","Home","L","1","2","Inter Miami",-0.777666666666667
"73","Columbus Crew",2023,19:30:00,"Regular Season","Sat","Home","D","2","2","Orlando City",0.121333333333333
"74","Columbus Crew",2023,19:30:00,"Regular Season","Wed","Home","W","2","0","LA Galaxy",0.899666666666667
"75","Columbus Crew",2023,19:30:00,"Regular Season","Sat","Away","L","2","3","FC Cincinnati",-0.891666666666667
"76","Columbus Crew",2023,19:30:00,"Regular Season","Sun","Away","L","1","3","Nashville",-0.93
"77","Columbus Crew",2023,19:30:00,"Regular Season","Wed","Home","W","3","2","Colorado Rapids",0.496666666666667
"78","Columbus Crew",2023,19:30:00,"Regular Season","Sat","Home","W","4","2","Charlotte",0.845
"79","Columbus Crew",2023,19:30:00,"Regular Season","Sat","Away","W","2","1","Chicago Fire",0.571
"80","Columbus Crew",2023,15:30:00,"Regular Season","Sat","Away","D","1","1","NYCFC",-0.153333333333333
"81","Columbus Crew",2023,19:30:00,"Regular Season","Sat","Home","W","2","0","Nashville",0.96
"82","Columbus Crew",2023,19:30:00,"Regular Season","Sat","Home","W","2","1","NY Red Bulls",0.501666666666667
"83","Columbus Crew",2023,19:30:00,"Regular Season","Tue","Away","D","2","2","Inter Miami",0.208666666666667
"84","Columbus Crew",2023,19:30:00,"Regular Season","Sat","Home","D","1","1","NYCFC",-0.0826666666666667
"85","Columbus Crew",2023,19:30:00,"Regular Season","Sat","Away","L","2","3","Portland Timbers",-0.71
"86","Columbus Crew",2023,19:30:00,"Regular Season","Sun","Home","W","3","0","FC Cincinnati",0.956
"87","Columbus Crew",2023,19:30:00,"Regular Season","Sat","Home","W","2","0","Toronto FC",0.612666666666667
"88","Columbus Crew",2023,19:30:00,"Regular Season","Wed","Away","L","0","2","Dynamo FC",-0.96
"89","Columbus Crew",2023,19:30:00,"Regular Season","Sat","Away","W","4","2","CF Montréal",0.658666666666667
"90","Columbus Crew",2023,19:30:00,"Regular Season","Sat","Away","L","3","4","Orlando City",-0.42
"91","Columbus Crew",2023,19:30:00,"Regular Season","Wed","Home","W","3","0","Chicago Fire",0.840666666666667
"92","Columbus Crew",2023,19:30:00,"Regular Season","Sat","Away","D","1","1","FC Dallas",-0.199666666666667
"93","Columbus Crew",2023,19:30:00,"Regular Season","Sat","Home","D","1","1","Philadelphia",-0.0336666666666667
"94","Columbus Crew",2023,19:30:00,"Regular Season","Wed","Away","W","2","1","New England",0.546666666666667
"95","Columbus Crew",2023,19:30:00,"Regular Season","Sat","Away","D","1","1","Atlanta Utd",-0.038
"96","Columbus Crew",2023,18:00:00,"Regular Season","Sat","Home","W","2","1","CF Montréal",0.886666666666667
"97","Philadelphia",2023,19:30:00,"Regular Season","Sat","Home","W","4","1","Columbus Crew",0.783333333333333
"98","Philadelphia",2023,19:30:00,"Regular Season","Sat","Away","L","0","2","Inter Miami",-0.836
"99","Philadelphia",2023,19:30:00,"Regular Season","Sat","Home","W","1","0","Chicago Fire",0.398
"100","Philadelphia",2023,19:30:00,"Regular Season","Sat","Away","L","2","3","CF Montréal",-0.489333333333333
"101","Philadelphia",2023,19:30:00,"Regular Season","Sat","Home","L","1","2","Orlando City",-0.681666666666667
"102","Philadelphia",2023,19:30:00,"Regular Season","Sat","Home","D","0","0","Sporting KC",0.0763333333333334
"103","Philadelphia",2023,19:30:00,"Regular Season","Sat","Away","L","0","1","FC Cincinnati",-0.6
"104","Philadelphia",2023,19:30:00,"Regular Season","Sat","Away","D","2","2","Chicago Fire",0.0373333333333333
"105","Philadelphia",2023,19:30:00,"Regular Season","Sat","Home","W","4","2","Toronto FC",0.818666666666667
"106","Philadelphia",2023,19:30:00,"Regular Season","Sat","Away","W","1","0","NY Red Bulls",0.730666666666667
"107","Philadelphia",2023,19:30:00,"Regular Season","Sat","Away","W","2","1","Colorado Rapids",0.605
"108","Philadelphia",2023,19:30:00,"Regular Season","Wed","Home","D","0","0","D.C. United",-0.0433333333333333
"109","Philadelphia",2023,19:30:00,"Regular Season","Sat","Away","W","3","1","NYCFC",0.636
"110","Philadelphia",2023,19:30:00,"Regular Season","Wed","Home","W","1","0","Charlotte",0.726
"111","Philadelphia",2023,19:30:00,"Regular Season","Sat","Home","W","3","0","CF Montréal",0.624
"112","Philadelphia",2023,19:30:00,"Regular Season","Sat","Away","L","1","2","San Jose",-0.606
"113","Philadelphia",2023,19:30:00,"Regular Season","Wed","Away","D","2","2","Orlando City",-0.230666666666667
"114","Philadelphia",2023,19:30:00,"Regular Season","Sat","Home","W","4","1","Inter Miami",0.856666666666667
"115","Philadelphia",2023,16:00:00,"Regular Season","Sun","Away","L","0","2","Atlanta Utd",-0.885
"116","Philadelphia",2023,19:30:00,"Regular Season","Sat","Away","L","1","3","LA Galaxy",-0.966666666666667
"117","Philadelphia",2023,19:30:00,"Regular Season","Sat","Home","W","2","1","NYCFC",0.681666666666667
"118","Philadelphia",2023,19:30:00,"Regular Season","Sat","Away","W","3","1","D.C. United",0.906666666666667
"119","Philadelphia",2023,19:30:00,"Regular Season","Wed","Away","L","1","3","Toronto FC",-0.789
"120","Philadelphia",2023,19:30:00,"Regular Season","Sun","Home","W","4","1","NY Red Bulls",0.63
"121","Philadelphia",2023,19:30:00,"Regular Season","Sat","Home","D","2","2","FC Cincinnati",-0.213333333333333
"122","Philadelphia",2023,19:30:00,"Regular Season","Wed","Away","D","2","2","Charlotte",0.0683333333333333
"123","Philadelphia",2023,19:30:00,"Regular Season","Wed","Home","D","1","1","FC Dallas",0.0453333333333333
"124","Philadelphia",2023,19:30:00,"Regular Season","Sat","Away","D","1","1","Columbus Crew",-0.0353333333333333
"125","Philadelphia",2023,19:30:00,"Regular Season","Wed","Home","W","3","2","Atlanta Utd",0.728
"126","Philadelphia",2023,19:30:00,"Regular Season","Sat","Home","D","0","0","Nashville",0.0716666666666667
"127","Philadelphia",2023,18:00:00,"Regular Season","Sat","Away","L","1","2","New England",-0.813333333333333
"128","New England",2023,19:30:00,"Regular Season","Sat","Away","W","1","0","Charlotte",0.674666666666667
"129","New England",2023,19:30:00,"Regular Season","Sat","Home","W","3","0","Dynamo FC",0.896
"130","New England",2023,22:30:00,"Regular Season","Sun","Away","L","0","4","Los Angeles FC",-0.935
"131","New England",2023,19:30:00,"Regular Season","Sat","Home","W","1","0","Nashville",0.846666666666667
